2262074;foundation_food;Almond butter, creamy;12;2022-04-28
2257045;foundation_food;Almond milk, unsweetened, plain, refrigerated;14;2022-04-28
1750338;foundation_food;Almond milk, unsweetened, plain, shelf stable;14;2021-04-28
1999631;foundation_food;Almond milk, unsweetened, plain, shelf stable;14;2021-10-28
2003590;foundation_food;Apple juice, with added vitamin C, from concentrate, shelf stable;9;2021-10-28
1105897;foundation_food;Apples, fuji, with skin, raw;9;2020-10-30
1750340;foundation_food;Apples, fuji, with skin, raw;9;2020-10-30
1105781;foundation_food;Apples, gala, with skin, raw;9;2020-10-30
1750341;foundation_food;Apples, gala, with skin, raw;9;2020-10-30
1105664;foundation_food;Apples, granny smith, with skin, raw;9;2020-10-30
1750342;foundation_food;Apples, granny smith, with skin, raw;9;2020-10-30
1105547;foundation_food;Apples, honeycrisp, with skin, raw;9;2020-10-30
1750343;foundation_food;Apples, honeycrisp, with skin, raw;9;2020-10-30
1105430;foundation_food;Apples, red delicious, with skin, raw;9;2020-10-30
1750339;foundation_food;Apples, red delicious, with skin, raw;9;2020-10-30
2263892;foundation_food;Applesauce, unsweetened, with added vitamin C;9;2022-04-28
2346414;foundation_food;Applesauce, unsweetened, with added vitamin C;9;2022-10-28
790774;foundation_food;Bananas, overripe, raw;9;2020-04-01
1105073;foundation_food;Bananas, overripe, raw;9;2020-04-01
790991;foundation_food;Bananas, ripe and slightly ripe, raw;9;2020-04-01
1105314;foundation_food;Bananas, ripe and slightly ripe, raw;9;2020-04-01
2644285;foundation_food;Beans, black, canned, sodium added, drained and rinsed;16;2023-10-19
2644287;foundation_food;Beans, cannellini, canned, sodium added, drained and rinsed;16;2023-10-19
2644281;foundation_food;Beans, cannellini, dry;16;2023-10-19
335912;foundation_food;Beans, Dry, Black (0% moisture);16;2019-04-01
747444;foundation_food;Beans, Dry, Black (0% moisture);16;2019-12-16
335425;foundation_food;Beans, Dry, Brown (0% moisture);16;2019-04-01
747433;foundation_food;Beans, Dry, Brown (0% moisture);16;2019-12-16
335433;foundation_food;Beans, Dry, Carioca (0% moisture);16;2019-04-01
747436;foundation_food;Beans, Dry, Carioca (0% moisture);16;2019-12-16
335782;foundation_food;Beans, Dry, Cranberry (0% moisture);16;2019-04-01
747437;foundation_food;Beans, Dry, Cranberry (0% moisture);16;2019-12-16
335245;foundation_food;Beans, Dry, Dark Red Kidney (0% moisture);16;2019-04-01
747440;foundation_food;Beans, Dry, Dark Red Kidney (0% moisture);16;2019-12-16
335428;foundation_food;Beans, Dry, Flor de Mayo (0% moisture);16;2019-04-01
747432;foundation_food;Beans, Dry, Flor de Mayo (0% moisture);16;2019-12-16
336067;foundation_food;Beans, Dry, Great Northern (0% moisture);16;2019-04-01
